Column2;Column3;Column4;Column5
6;2008;1843;2029
6;2032;1819;2004
6;2032;1819;2024
6;2032;1819;1954
6;2032;1819;1914
6;2032;1838;1914
6;2032;1838;1888
6;2076;1838;1865
6;2051;1838;1865
6;2079;1859;1865
6;2113;1814;1923
6;2113;1814;1830
6;2113;1814;1780
6;2105;1814;1821
6;2105;1814;1865
6;2105;1833;1908
6;2105;1833;1944
6;2105;1833;1987
6;2105;1833;2050
7;2482;2373;2115
7;2491;2373;2093
7;2491;2378;2093
7;2491;2329;2093
7;2469;2391;2093
7;2469;2391;2117
7;2524;2505;2045
7;2546;2547;2087
7;2546;2547;2105
7;2546;2502;2086
7;2546;2502;2043
7;2546;2502;2066
7;2546;2502;2088
7;2546;2502;2064
7;2546;2502;2135
7;2546;2502;2161
7;2546;2502;2140
8;2601;3022;3074
8;2577;3000;3074
8;2701;3000;3074
8;2656;3000;3074
8;2707;3000;3074
8;2683;3000;3074
8;2780;2977;3074
8;2826;2977;3074
8;2802;2977;3074
8;2850;2977;3074
8;2826;2977;3074
8;2873;2977;3074
8;2891;2977;3074
8;2938;2906;3074
8;2890;2906;3074
8;2962;2880;3074
